RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalPastDue,HasDependents,IncomePerDependent
0.407310995,51,0,1.264612596,6620.0,23,0,9,0,3.0,0,1,1655.0
0.568289199,58,1,0.367469378,12000.0,11,0,2,0,0.0,1,0,12000.0
0.585298929,59,3,0.40332397,4271.0,8,0,0,0,3.0,3,1,1067.75
0.005186135,59,0,0.001558361,6416.0,8,0,0,0,0.0,0,0,6416.0
0.119539465,55,0,0.347124825,12833.0,22,0,3,0,1.0,0,1,6416.5
0.013751073,53,0,1.026789284,2500.0,24,0,1,0,0.0,0,0,2500.0
0.401380837,52,0,0.299690343,10333.0,11,0,2,0,0.0,0,0,10333.0
0.822156126,64,0,0.731197455,4400.0,5,0,1,0,0.0,0,0,4400.0
0.178037183,48,0,0.48629573,8500.0,10,0,2,0,0.0,0,0,8500.0
0.32791686,34,1,0.253539717,8333.0,8,0,2,0,1.0,1,1,4166.5
